cluster_label,source_id,ra,dec,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,prob_A,membership_prob,prob_source,ms_flag,giant_flag,cluster_centre_ra,cluster_centre_dec,hunt24_name,simbad_name,sp_type,sp_class
188,458023906685172608,38.409018,57.537660,-0.259385,-1.066737,0.012696,0.013923,0.404921,0.017543,13.607064,14.027257,12.999406,1.077879,0.760255,0.996280,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458022738454120576,38.239245,57.488812,-0.282370,-1.070198,0.028678,0.031994,0.375389,0.036014,15.395301,15.955910,14.666320,1.227641,0.689289,0.990072,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458023047691993728,38.348516,57.520274,-0.225626,-1.158322,0.025198,0.025887,0.449368,0.033184,15.272631,15.701008,14.658936,0.981427,0.765958,0.986832,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458023528728027392,38.316030,57.579602,-0.232885,-1.210674,0.057082,0.058841,0.403310,0.069742,16.885883,17.656462,16.037445,1.032299,0.844395,0.970112,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458024044124101120,38.420380,57.568498,-0.314087,-1.134644,0.030622,0.033032,0.424562,0.039963,15.716344,16.155552,15.099529,1.014535,0.961045,0.992283,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458025487233082112,38.401345,57.616739,-0.316199,-1.071242,0.046872,0.049822,0.495047,0.056354,16.539505,17.233828,15.731809,0.970628,0.541622,0.975012,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458026346226590848,38.266159,57.563522,-0.167550,-0.972869,0.027812,0.029036,0.396679,0.032897,15.455113,15.873842,14.862068,1.048763,0.584307,0.963586,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458026449305794176,38.283069,57.577938,-0.262136,-1.170997,0.067551,0.073731,0.463802,0.082596,17.308828,18.135288,16.423304,0.976502,0.690555,0.974680,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,457913027807362304,38.920055,57.434894,-0.363615,-1.216919,0.012882,0.013890,0.415068,0.017291,13.775429,14.064810,13.312194,1.064587,0.000000,0.945546,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458014904433879552,38.268620,57.344257,-0.202963,-1.014043,0.016579,0.016906,0.430257,0.019930,14.522241,14.916621,13.943699,1.054357,0.000000,0.983103,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
