Name,ID,source_id,inrt,Prob,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,RV,_RA.icrs,_DE.icrs
NGC_957             ,4463,458010197152415872,1,1.0,38.42846644,57.4625,-0.29210236,-1.07979729,0.44229941,15.951895,16.463297,15.271702,            ,38.42846885,57.4625048
NGC_957             ,4463,458010265869085952,1,0.9261978435611908,38.47771772,57.4685442,-0.3185772,-1.12770342,0.40665424,14.938556,15.428244,14.267813,            ,38.47772036,57.4685492
NGC_957             ,4463,458010987423827968,1,0.7520387158193059,38.65313273,57.474305,-0.35228033,-1.1913315,0.45789102,12.455827,12.737761,12.003891,            ,38.65313564,57.4743103
NGC_957             ,4463,458011021783565056,1,0.7735549690351899,38.65591616,57.479185,-0.21111892,-1.17506594,0.41931928,14.294161,14.630965,13.776294,            ,38.65591791,57.4791902
NGC_957             ,4463,458011331021205888,1,0.8844220254995431,38.65944769,57.5046059,-0.28380407,-1.0949531,0.42182642,15.417648,15.855134,14.791623,            ,38.65945004,57.5046107
NGC_957             ,4463,458011434100418816,1,0.8033318011885107,38.65126737,57.5256634,-0.28853203,-1.05176315,0.41845708,13.935825,14.325761,13.357216,            ,38.65126976,57.5256681
NGC_957             ,4463,458011434100419200,1,0.7619117529476248,38.64666969,57.5210897,-0.16642686,-1.16383416,0.40291679,17.220213,18.048084,16.335188,            ,38.64667107,57.5210948
NGC_957             ,4463,458011464159728000,1,0.721989044003052,38.54515289,57.4608728,-0.39767907,-1.00670953,0.40603508,18.426128,19.470747,17.41616,            ,38.54515618,57.4608772
NGC_957             ,4463,458011502819660160,1,0.7688899659030726,38.53175674,57.4715965,-0.28325281,-1.0293022,0.38351585,16.068377,16.578327,15.374539,            ,38.53175909,57.471601
NGC_957             ,4463,458011605898859904,1,0.7261476544007285,38.56047763,57.4887644,-0.20631547,-1.14402065,0.48753509,17.038052,17.758894,16.205153,            ,38.56047934,57.4887695
NGC_957             ,4463,458011674618335744,1,0.8059041647198539,38.5473966,57.4915578,-0.29573574,-1.01484664,0.45013011,16.409706,17.034021,15.632251,            ,38.54739905,57.4915623
NGC_957             ,4463,458011777697554176,1,0.760688169242094,38.51560802,57.4909721,-0.34834055,-1.13315189,0.36009054,16.17522,16.746668,15.44545,            ,38.5156109,57.4909771
NGC_957             ,4463,458011812057291520,1,1.0,38.48235109,57.4961658,-0.25134091,-1.09800148,0.44861459,14.809228,15.198593,14.22901,            ,38.48235317,57.4961707
NGC_957             ,4463,458011846417021824,1,1.0,38.47872998,57.5075944,-0.30837823,-1.1932596,0.45306157,14.698224,15.168181,14.036523,            ,38.47873253,57.5075997
NGC_957             ,4463,458012052575427072,1,0.8529083609506058,38.59305081,57.5226934,-0.33575637,-1.07231187,0.39045086,14.959185,15.35647,14.373252,            ,38.59305359,57.5226982
NGC_957             ,4463,458012258733832448,1,1.0,38.61189087,57.5523009,-0.33224919,-1.15829903,0.41289745,14.647248,15.01752,14.093548,            ,38.61189362,57.552306
NGC_957             ,4463,458012293093602048,1,1.0,38.54845573,57.5236428,-0.2785913,-1.09736067,0.43664757,16.92632,17.643215,16.09115,            ,38.54845803,57.5236476
NGC_957             ,4463,458012361813063168,1,0.7744917010375819,38.52871318,57.5458637,-0.19948083,-1.15609547,0.37837839,16.667423,17.349062,15.868259,            ,38.52871484,57.5458688
NGC_957             ,4463,458012396172798080,1,1.0,38.55252415,57.5462877,-0.26643673,-1.13077925,0.41383954,14.690152,15.043903,14.150969,            ,38.55252635,57.5462927
NGC_957             ,4463,458012464892256128,1,0.927831807412922,38.57878268,57.5680131,-0.38529993,-1.12775094,0.40908253,16.953344,17.689674,16.097689,            ,38.57878588,57.5680181
NGC_957             ,4463,458013564404094720,1,0.7273852495057215,38.18652066,57.3366983,-0.26946028,-1.16082959,0.41999871,16.82662,17.60495,15.963413,            ,38.18652288,57.3367035
NGC_957             ,4463,458013770562566272,1,0.68632561264048,38.04399698,57.2911429,-0.20832387,-1.11593149,0.38264743,14.034997,14.364757,13.526381,            ,38.0439987,57.2911479
NGC_957             ,4463,458014457757286144,1,0.7499129257856428,38.1369452,57.3543619,-0.26877475,-1.08991178,0.43259966,15.506435,15.949986,14.875784,            ,38.13694742,57.3543667
NGC_957             ,4463,458014973153348096,1,0.8396657332887179,38.24221563,57.3583456,-0.25158601,-1.10672498,0.4249661,16.61079,17.340528,15.741021,            ,38.24221771,57.3583506
NGC_957             ,4463,458015248031238400,1,0.8472571000588854,38.21078195,57.3856594,-0.29458348,-1.07939993,0.4007338,14.756104,15.225957,14.106778,            ,38.21078438,57.3856642
NGC_957             ,4463,458015282390973696,1,0.9095241465848772,38.21940303,57.3886162,-0.32366871,-1.14251507,0.42681474,15.184331,15.651608,14.532975,            ,38.2194057,57.3886213
NGC_957             ,4463,458016549399162112,1,0.966353190036832,38.2494767,57.4309417,-0.29689752,-1.11509322,0.40458093,16.0745,16.570053,15.349815,            ,38.24947915,57.4309467
NGC_957             ,4463,458016588060987904,1,1.0,38.26103881,57.4443204,-0.3664693,-1.11445039,0.43355324,13.30306,13.637765,12.784367,            ,38.26104184,57.4443254
