Name,ID,source_id,inrt,Prob,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,RV,_RA.icrs,_DE.icrs
Berkeley_87         ,259,2060968923471305856,1,1.0,305.2955016,37.3982073,-3.60614326,-6.35305086,0.57837853,14.575958,15.493004,13.621274,  -62.748264,305.2955218,37.3982356
Berkeley_87         ,259,2060968957831040512,1,1.0,305.3139984,37.4086122,-3.56657914,-6.41415312,0.56959774,7.940772,8.938638,6.927368,  -17.620737,305.3140183,37.4086407
Berkeley_87         ,259,2060969129629710464,1,1.0,305.3818897,37.4177124,-3.74950719,-6.36455633,0.55320865,14.37321,15.264547,13.432993,   60.217472,305.3819107,37.4177407
Berkeley_87         ,259,2060969163989448576,1,1.0,305.3897078,37.4230476,-3.66850539,-6.36418294,0.57457306,13.486067,14.347668,12.560989,            ,305.3897283,37.4230759
Berkeley_87         ,259,2060969228405037824,1,1.0,305.3762199,37.4402332,-3.5631191,-6.48756252,0.55909491,18.350323,20.16612,17.032688,            ,305.3762398,37.4402621
Berkeley_87         ,259,2060969232708930816,1,1.0,305.372248,37.4314042,-3.61821306,-6.20107631,0.55733045,14.570085,15.438563,13.642741,            ,305.3722683,37.4314317
Berkeley_87         ,259,2060969232708934784,1,1.0,305.3681612,37.4388572,-3.56028061,-6.34141872,0.55077825,13.443903,14.552835,12.386666,            ,305.3681811,37.4388854
Berkeley_87         ,259,2060969370147881856,1,1.0,305.404247,37.4655304,-3.62766737,-6.35180826,0.53413245,14.840752,15.933171,13.804211,            ,305.4042673,37.4655586
Berkeley_87         ,259,2060969370147886976,1,1.0,305.3950779,37.4703121,-3.60501805,-6.42300754,0.5838585,16.074497,17.170115,15.037137,            ,305.3950981,37.4703406
Berkeley_87         ,259,2060969404507635840,1,1.0,305.3472171,37.4428357,-3.66145684,-6.25356317,0.51144135,16.415474,17.603296,15.336905,            ,305.3472376,37.4428635
Berkeley_87         ,259,2060969473227119616,1,1.0,305.3386477,37.4511914,-3.65552323,-6.42864305,0.60200137,14.534465,15.630662,13.494713,            ,305.3386682,37.45122
Berkeley_87         ,259,2060969713745296256,1,1.0,305.2960775,37.4238015,-3.73630093,-6.55816007,0.58603645,16.460732,17.626036,15.383901,            ,305.2960984,37.4238306
Berkeley_87         ,259,2060970160421914112,1,1.0,305.2829167,37.4728219,-3.46722653,-6.28685747,0.58084852,15.719249,16.692274,14.730313,            ,305.2829361,37.4728498
Berkeley_87         ,259,2060970194781842176,1,1.0,305.2872758,37.4944697,-3.56200757,-6.46729865,0.59992777,12.855134,13.605168,11.997187,            ,305.2872957,37.4944984
Berkeley_87         ,259,2060970263501103744,1,1.0,305.3507847,37.4712929,-3.70050945,-6.38661726,0.58285699,16.233196,17.407984,15.140017,            ,305.3508054,37.4713212
Berkeley_87         ,259,2060970297860853760,1,1.0,305.318734,37.4693501,-3.55166833,-6.3410221,0.56580673,13.164682,14.055993,12.225078,            ,305.3187539,37.4693783
Berkeley_87         ,259,2060970469659541120,1,1.0,305.3564538,37.5024723,-3.75731452,-6.3498548,0.54429022,15.48756,16.593147,14.443576,            ,305.3564748,37.5025005
Berkeley_87         ,259,2060970675817983488,1,1.0,305.3373506,37.5186085,-3.62262225,-6.2872034,0.55772585,14.557137,15.4856,13.596256,  104.423256,305.3373709,37.5186365
Berkeley_87         ,259,2060970847616630144,1,1.0,305.4155995,37.4716166,-3.64521819,-6.36063995,0.59391931,16.54746,17.843,15.426142,            ,305.4156199,37.4716449
Berkeley_87         ,259,2060971053775071616,1,1.0,305.3998636,37.4873985,-3.66291868,-6.29310801,0.60572783,16.636246,17.94568,15.487963,            ,305.3998841,37.4874265
Berkeley_87         ,259,2060971053775075584,1,1.0,305.3883411,37.4864967,-3.56321048,-6.27615851,0.59023539,15.814361,16.953924,14.753505,            ,305.3883611,37.4865246
Berkeley_87         ,259,2060971122494553984,1,1.0,305.3911918,37.4949952,-3.71706573,-6.40563292,0.54187486,15.21781,16.346798,14.164339,   34.476310,305.3912126,37.4950237
Berkeley_87         ,259,2060971191214020352,1,1.0,305.4261957,37.5089207,-3.53172363,-6.41148043,0.60585144,16.83711,18.33628,15.664448,            ,305.4262154,37.5089492
Berkeley_87         ,259,2060971294293250944,1,1.0,305.4105954,37.5330068,-3.71049193,-6.30705064,0.57600602,6.540503,9.557435,5.057618,  -20.966608,305.4106162,37.5330348
Berkeley_87         ,259,2060971844049260416,1,1.0,305.4635082,37.5722042,-3.67757021,-6.28449949,0.54184102,13.231024,13.82627,12.477731,            ,305.4635288,37.5722321
Berkeley_87         ,259,2060972084567248640,1,1.0,305.387755,37.5545327,-3.65122558,-6.239908,0.60488134,16.079485,17.293114,14.994307,            ,305.3877755,37.5545604
Berkeley_87         ,259,2060973214139108224,1,1.0,305.2571236,37.508702,-3.63355799,-6.49552659,0.57132092,18.171234,19.236132,16.913115,            ,305.257144,37.5087308
Berkeley_87         ,259,2060975417462080768,1,0.9813341837432048,305.3447518,37.6014018,-3.53612149,-6.25370741,0.54864828,15.844479,16.895391,14.830161,            ,305.3447716,37.6014296
