cluster_label,source_id,ra,dec,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,membership_prob,prob_source,ms_flag,giant_flag,cluster_centre_ra,cluster_centre_dec,hunt24_name,simbad_name,sp_type,sp_class
11,2.06099E+18,305.15396,37.784751,-3.598029,-6.083578,0.01152,0.011251,0.559375,0.011029,13.209983,13.740315,12.508879,1.111614,0.90303,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.061E+18,305.505861,37.636131,-3.558727,-6.017304,0.042507,0.052225,0.509461,0.044314,16.515131,17.728535,15.426917,0.968805,0.938478,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05796E+18,305.568736,37.401467,-3.580755,-6.395765,0.0125,0.01451,0.548542,0.012565,13.638598,14.681994,12.625751,0.98014,0.991204,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.550668,37.441244,-3.627485,-6.251564,0.032455,0.037684,0.565738,0.031949,15.920995,17.178345,14.815235,1.060145,0.992955,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.358752,37.353671,-3.663642,-6.3316,0.069234,0.085824,0.546599,0.075548,17.40402,18.832834,16.252075,0.980901,0.970197,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.41116,37.420865,-3.516289,-5.96399,0.010568,0.012537,0.563099,0.011137,9.943044,10.75755,9.050427,0.921517,0.973491,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.476464,37.392312,-3.574648,-6.185085,0.010574,0.012297,0.54428,0.011048,13.216353,14.151985,12.253903,1.012458,0.994344,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05799E+18,305.668631,37.561211,-3.603213,-6.320936,0.018371,0.021505,0.539355,0.017827,14.548744,15.385371,13.635737,1.130229,0.982117,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06097E+18,305.415599,37.471617,-3.645218,-6.36064,0.041937,0.050037,0.593919,0.043805,16.54746,17.843,15.426142,1.054273,0.992301,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.484917,37.384276,-3.629586,-6.3072,0.020303,0.022047,0.512337,0.020073,14.924746,15.855715,13.961681,1.010074,0.959674,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.436447,37.3675,-3.705468,-6.418673,0.020667,0.024516,0.541907,0.021591,14.956786,15.956319,13.962415,1.006463,0.981095,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.390631,37.392559,-3.517731,-6.352656,0.038223,0.0543,0.649052,0.041861,16.221634,17.3578,15.175051,1.016154,0.923742,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.468742,37.439984,-3.659215,-6.418657,0.054351,0.080088,0.525178,0.05955,16.974266,18.246288,15.861717,0.993158,0.98129,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05796E+18,305.544018,37.383881,-3.630902,-6.395595,0.028076,0.030721,0.503263,0.027931,15.625431,16.56626,14.655036,1.034948,0.929869,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.374531,37.362027,-3.640117,-6.221582,0.02525,0.028127,0.573971,0.025039,15.323678,16.174965,14.400659,1.010985,0.992332,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.39973,37.381049,-3.656811,-6.285237,0.012555,0.014125,0.557369,0.013025,13.660883,14.541084,12.726861,1.0377,0.996376,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.466715,37.404127,-3.759847,-6.332607,0.016753,0.020369,0.575241,0.017318,14.446732,15.411947,13.469881,1.000057,0.982259,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05799E+18,305.61383,37.591435,-3.465922,-6.301381,0.012835,0.015869,0.542851,0.013276,11.356069,12.005563,10.572453,0.990112,0.977191,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.451572,37.435016,-3.616309,-6.370082,0.01929,0.022094,0.563656,0.019958,14.713152,15.682847,13.735217,1.095587,0.996385,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.468095,37.435319,-3.753426,-6.213437,0.042596,0.051542,0.535151,0.04519,16.55278,17.76222,15.471783,0.997323,0.976537,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.46238,37.435006,-3.544272,-6.36245,0.010717,0.012481,0.578441,0.011205,12.796445,13.736968,11.824801,1.04047,0.994202,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.446105,37.4534,-3.544702,-6.283142,0.017566,0.020552,0.561941,0.018388,14.65064,15.738168,13.617523,1.088594,0.997122,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.445219,37.475113,-3.622302,-6.407387,0.041677,0.049095,0.517783,0.042344,16.516962,17.83508,15.388074,0.943768,0.988189,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05799E+18,305.59561,37.513154,-3.568069,-6.183012,0.03835,0.042473,0.609297,0.039967,16.273933,17.291508,15.269583,0.991792,0.978095,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.415354,37.418189,-3.62995,-6.443314,0.013134,0.014576,0.586307,0.013145,11.201333,12.107084,10.258527,0.911941,0.985488,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.444693,37.438005,-3.665051,-6.196431,0.022108,0.024879,0.545891,0.022546,14.463502,15.437115,13.474562,1.414894,0.99505,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06097E+18,305.368161,37.438857,-3.560281,-6.341419,0.011479,0.012813,0.550778,0.011784,13.443903,14.552835,12.386666,1.002837,0.997258,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06097E+18,305.412073,37.51843,-3.469042,-6.156423,0.073405,0.100881,0.531692,0.075133,17.538397,19.043673,16.383476,0.931897,0.975764,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06097E+18,305.257124,37.508702,-3.633558,-6.495527,0.129293,0.126064,0.571321,0.118348,18.171234,19.236132,16.913115,1.042913,0.940181,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06098E+18,305.309815,37.689548,-3.625403,-6.113115,0.010383,0.010967,0.537046,0.010579,13.260331,14.082252,12.358603,1.044509,0.980473,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
