# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Wed Sep 23 15:46:23 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 6.30000 0.3118179739 1.9759927736    0.312 -0.772  3.5053  3.677    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.58e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.700 7.849 9.424 6.630
0.0152 0.01508 6.30000 0.3417588770 2.0296999836    0.342 -0.721  3.5126  3.695    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.86e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.573 7.671 9.193 6.471
0.0152 0.01508 6.30000 0.3500000238 2.0434175133    0.350 -0.708  3.5145  3.700    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.94e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.541 7.626 9.133 6.430
0.0152 0.01508 6.30000 0.3800650239 2.0901110990    0.380 -0.657  3.5221  3.716    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.29e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.413 7.445 8.893 6.268
0.0152 0.01508 6.30000 0.4000000358 2.1185024810    0.400 -0.626  3.5268  3.726    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.51e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.336 7.333 8.743 6.170
0.0152 0.01508 6.30000 0.4381143153 2.1679836765    0.438 -0.567  3.5363  3.743    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.99e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.187 7.118 8.455 5.982
0.0152 0.01508 6.30000 0.4530862570 2.1859132453    0.453 -0.545  3.5399  3.751    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.17e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.133 7.039 8.350 5.914
0.0152 0.01508 6.30000 0.4849803746 2.2216615815    0.485 -0.497  3.5480  3.764    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.62e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.012 6.860 8.107 5.760
0.0152 0.01508 6.30000 0.5000000000 2.2374541529    0.500 -0.474  3.5517  3.770    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.85e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.956 6.777 7.994 5.688
0.0152 0.01508 6.30000 0.5080849528 2.2456363160    0.508 -0.463  3.5538  3.774    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.97e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.927 6.731 7.933 5.650
